login,repo,path,reason,reasoning,first_seen,last_seen
lordofthejars,test-codeassistants-workshop,galaxium-travels-playwright/.bob/skills/playwright-java/SKILL.md,review,"Opus recheck rejected promotion: SKILL.md explicitly states it was adapted from sickn33/antigravity-awesome-skills — vendored/copied content, not lordofthejars's own work; also contains non-JVM AGI boilerplate (Python scripts, npm agi-agent-kit) appended as a template.. (judge: 428-line skill with concrete, opinionated guidance on production-quality test automation. JVM-focused (JUnit 5, Playwright Java, Allure), depth 3. Demo repo doesn't diminish quality.)",2026-06-27,2026-06-28
lordofthejars,java-migration-modernization-bob,step-2/SKILL.md,review,"Opus recheck rejected promotion: Trivial teaching placeholder copy-pasted verbatim into the workshop's update-java.adoc (""create a very simple Skill""); title claims Java 25 features but content is only Records/text-blocks/var basics with inconsistent examples — demo scaffolding, not a genuine reusable skill.. (judge: 107-line Java language upgrade skill with concrete patterns and code examples. High JVM fit (Java 25 features). Meets 100+ line threshold, real guidance for Java developers.)",2026-06-27,2026-06-27
lordofthejars,hello-world-tekton-bob,AGENTS.md,project-doc,Bare project documentation listing skill references and orchestration order. No transferable skill guidance—only project layout and build flow.,2026-06-27,2026-06-28
lordofthejars,hello-world-tekton-bob,skills/build/SKILL.md,review,"Opus recheck rejected promotion: Primarily a Tekton/Kubernetes container orchestration skill; Maven is only one of three steps (git-clone, mvn build, buildah push) — JVM tooling is incidental, not the skill's focus, so insufficiently JVM-specific for this collection.. (judge: 79-line Tekton build skill using Maven. JVM medium fit (Maven is JVM tool but skill emphasizes container orchestration). Numbered step in bundle (rule 4 applies); evaluated as standalone step with real build guidance.)",2026-06-27,2026-06-28
lordofthejars,hello-world-tekton-bob,skills/pipeline/SKILL.md,review,"Opus recheck rejected promotion: Generic Tekton/Kubernetes pipeline generation with no JVM-specific content — references only Dockerfile and generic build/security tasks, nothing Java/Kotlin/Gradle/Maven-specific; thin demo-repo step.. (judge: 39 lines, depth 1. Generic Kubernetes orchestration, not JVM-specific. Bundle rule 4 applies but this individual step is thin (single numbered step without substantial independent guidance).)",2026-06-27,2026-06-28
lordofthejars,hello-world-tekton-bob,skills/secrets/SKILL.md,review,"Opus recheck rejected promotion: Generic Kubernetes Secret/ServiceAccount generation — no JVM specificity, thin YAML-template guidance, and a numbered bundle step in a Tekton demo repo rather than a standalone reusable skill.. (judge: 52-line Kubernetes infrastructure step. Low JVM fit (Secret/ServiceAccount management). Thin guidance, numbered bundle step without substantial independent reusability.)",2026-06-27,2026-06-28
lordofthejars,hello-world-tekton-bob,skills/security/SKILL.md,review,"Opus recheck rejected promotion: Not JVM-specific; thin Tekton/Trivy YAML boilerplate with no transferable JVM guidance — just a single-step prompt to generate a Kubernetes Task definition.. (judge: 46-line vulnerability scanning skill using Trivy. Low JVM fit. Thin numbered step in bundle, single-purpose without substantial transferable guidance.)",2026-06-27,2026-06-28
ataztech910,NEITN,.agents/AGENTS.md,project-doc,Bare project documentation covering DSL conventions and skill reference structure. No reusable skill guidance—only project scaffolding and annotation rules.,2026-06-27,2026-06-28
ataztech910,NEITN,.agents/skills/neitn/SKILL.md,review,"Opus recheck rejected promotion: Skill is entirely neitn-product-specific (workflow DSL, Patch Schema v0, flow.yaml) with zero JVM relevance; not reusable outside that proprietary tool.. (judge: 55-line skill for workflow DSL (Patch Schema v0). Low JVM fit (generic workflow tool). Real guidance but narrow domain, thin reusability outside neitn context.)",2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,.agents/skills/frontend-design/SKILL.md,off-topic-tech,"Frontend UI design skill (42 lines) covering component building, typography, spacing, animations. No JVM connection. Real skill but off-topic tech (frontend design, not JVM).",2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,.agents/skills/grill-me/SKILL.md,off-topic-workflow,"10-line interview workflow skill. Generic development workflow (questioning/grilling), not JVM. Thin and off-topic.",2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,.agents/skills/improve-codebase-architecture/SKILL.md,off-topic-workflow,"155-line architectural refactoring skill (deep modules, dependency analysis). Well-developed but generic—could apply to Python, JS, Go unchanged. Not JVM. Generic dev workflow per rule 5 (2026-06-27 Devoxx Poland).",2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,.agents/skills/prd-to-issues/SKILL.md,off-topic-workflow,"88-line vertical slice workflow skill. Generic development process (PRD decomposition), not JVM. Off-topic workflow.",2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,.agents/skills/tdd/SKILL.md,off-topic-workflow,107-line TDD red-green-refactor workflow skill. Comprehensive guidance but language-agnostic. Could be lifted verbatim into Python/JS. Generic dev workflow per rule 5.,2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,.agents/skills/write-a-prd/SKILL.md,off-topic-workflow,"76-line PRD writing workflow skill. Generic product development process, not JVM. Off-topic workflow.",2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,AGENTS.md,project-doc,"Project documentation covering TypeScript/Effect best practices, testing setup, QA guidelines. Not a skill—project-specific scaffolding (build commands, lint setup, testing config).",2026-06-27,2026-06-28
arnaugomez,dictat-interactiu,CLAUDE.md,project-doc,"Duplicate of AGENTS.md. Project documentation for TypeScript/Effect project, not transferable skill guidance.",2026-06-27,2026-06-28
asierzapata,asierzapata.com,AGENTS.md,project-doc,"3-line project stub referencing MCP tools. Bare reference documentation, no skill content.",2026-06-27,2026-06-28
